word,score
foundation,14.281959752685424
salt,13.217558399823195
myth,8.12415060330663
influence,6.608779199911598
deterrent,6.0447090616267936
building,5.497744391244931
campaigns,5.41610040220442
sign,5.287023359929278
choose,5.287023359929278
anti,4.828313737302301
beloved,4.029806041084529
substitute,4.029806041084529
dismantle,4.029806041084529
bureaucracy,4.029806041084529
submarines,4.029806041084529
israel,3.9652675199469583
trust,3.6651629274966204
enough,3.5757793663619353
farm,3.2958368660043287
hospital,3.2958368660043287
deepest,3.2188758248682006
reorganization,3.2188758248682006
super,3.2188758248682006
spread,3.2188758248682006
negotiation,3.2188758248682006
ve,3.1015492830383944
fight,3.048560208187587
responsible,3.048560208187587
none,2.7488721956224653
importantly,2.70805020110221
modified,2.70805020110221
reshaped,2.70805020110221
succeeding,2.70805020110221
firmer,2.70805020110221
inherit,2.70805020110221
myths,2.70805020110221
endlessly,2.70805020110221
contriving,2.70805020110221
unworkable,2.70805020110221
competence,2.70805020110221
capitulation,2.70805020110221
wracked,2.70805020110221
compulsion,2.70805020110221
supportive,2.70805020110221
habits,2.70805020110221
unwinding,2.70805020110221
lack,2.70805020110221
contributor,2.70805020110221
clearer,2.70805020110221
processes,2.70805020110221
fed,2.70805020110221
